0:6.123233995736766e-17,0.0,1.0;90,0
48:0.21850801222441057,0.6724985119639574,0.7071067811865475;44.99999999999999,72.0
49:0.4800854031889748,0.6749644040518687,0.5603044341318254;34.076854005270455,54.57670327245223
50:0.44790480752758033,0.8548900628023693,0.2618095947734576;15.177464227547844,62.3484896295239
51:-0.1401291700945664,0.9548924294249934,-0.2618095947734576;-15.177464227547844,98.3484896295239
52:-0.008336872592837196,0.8282447933114858,-0.5603044341318254;-34.076854005270455,90.57670327245222
53:-0.21850801222441046,0.6724985119639575,-0.7071067811865475;-44.99999999999999,108.0
54:-0.5720614028176843,0.4156269377774536,0.7071067811865475;44.99999999999999,144.0
55:-0.49357474640406285,0.6651638225312467,0.5603044341318254;34.076854005270455,126.57670327245222
56:-0.6746385675559041,0.6901583436072303,0.2618095947734576;15.177464227547844,134.3484896295239
57:-0.9514589623324287,0.16180722815083376,-0.2618095947734576;-15.177464227547844,170.3484896295239
58:-0.7902838430775465,0.24801287963087465,-0.5603044341318255;-34.07685400527046,162.57670327245222
59:-0.7071067811865476,8.659560562354932e-17,-0.7071067811865475;-44.99999999999999,180.0
60:-0.5720614028176843,-0.4156269377774536,0.7071067811865475;44.99999999999999,-144.0
61:-0.7851313724552955,-0.2638705536407553,0.5603044341318256;34.07685400527047,-161.42329672754778
62:-0.8648543723986712,-0.42834874883377255,0.2618095947734576;15.177464227547844,-153.6515103704761
63:-0.4479048075275802,-0.8548900628023696,-0.2618095947734576;-15.177464227547844,-117.6515103704761
64:-0.4800854031889747,-0.6749644040518689,-0.5603044341318256;-34.07685400527047,-125.42329672754776
65:-0.21850801222441046,-0.6724985119639575,-0.7071067811865475;-44.99999999999999,-108.0
66:0.21850801222441057,-0.6724985119639574,0.7071067811865475;44.99999999999999,-72.0
67:0.008336872592837311,-0.8282447933114858,0.5603044341318254;34.076854005270455,-89.42329672754778
68:0.14012917009456652,-0.9548924294249934,0.2618095947734576;15.177464227547844,-81.6515103704761
69:0.6746385675559042,-0.6901583436072302,-0.2618095947734576;-15.177464227547844,-45.65151037047612
70:0.49357474640406296,-0.6651638225312466,-0.5603044341318254;-34.076854005270455,-53.42329672754778
71:0.5720614028176844,-0.4156269377774535,-0.7071067811865475;-44.99999999999999,-36.00000000000001
72:0.25881904510252085,0.0,0.9659258262890682;74.99999999999999,0.0
73:0.34237401922214167,-0.24874928544901076,0.906037429662971;64.96337184640184,-35.99999999999999
74:0.6051851092690829,-0.24992853072774704,0.7558351096947257;49.09839340504711,-22.439580349862393
75:0.4247086412635035,-0.49833307836112056,0.7558351096947257;49.09839340504711,-49.56041965013759
76:0.4800854031889748,-0.6749644040518687,0.5603044341318254;34.076854005270455,-54.57670327245223
77:0.6616323012839332,-0.6834795664216794,0.30838025258073787;17.961644074509802,-45.930514451646644
78:0.8544833205240652,-0.4180429101951234,0.3083802525807378;17.961644074509802,-26.069485548353356
79:0.8090169943749475,-0.5877852522924731,0.0;0.0,-36.0
80:0.8648543723986714,-0.4283487488337725,-0.2618095947734576;-15.177464227547844,-26.348489629523897
81:0.9514589623324287,0.16180722815083362,0.26180959477345755;15.17746422754784,9.651510370476105
82:1.0,0.0,0.0;0.0,0.0
83:0.9370109851520243,0.164048875408133,-0.30838025258073787;-17.961644074509802,9.930514451646642
84:0.9370109851520243,-0.164048875408133,-0.30838025258073787;-17.961644074509802,-9.930514451646642
85:0.7851313724552957,-0.26387055364075523,-0.5603044341318256;-34.07685400527047,-18.576703272452228
86:0.6365093426302434,-0.15352245339746712,-0.7558351096947257;-49.09839340504711,-13.5604196501376
87:0.6365093426302434,0.15352245339746712,-0.7558351096947257;-49.09839340504711,13.5604196501376
88:0.4231975614883867,0.0,-0.906037429662971;-64.96337184640184,0.0
89:0.20938900595583537,0.15213001772368215,-0.9659258262890682;-74.99999999999999,35.99999999999999
90:0.07997948340457497,0.24615153938604162,0.9659258262890682;74.99999999999999,71.99999999999999
91:0.34237401922214167,0.24874928544901076,0.906037429662971;64.96337184640184,35.99999999999999
92:0.4247086412635035,0.49833307836112056,0.7558351096947257;49.09839340504711,49.56041965013759
93:0.6051851092690829,0.24992853072774704,0.7558351096947257;49.09839340504711,22.439580349862393
94:0.7902838430775466,0.2480128796308745,0.5603044341318255;34.07685400527046,17.423296727547772
95:0.8544833205240652,0.4180429101951234,0.3083802525807378;17.961644074509802,26.069485548353356
96:0.6616323012839332,0.6834795664216794,0.30838025258073787;17.961644074509802,45.930514451646644
97:0.8090169943749475,0.5877852522924731,0.0;0.0,36.0
98:0.6746385675559042,0.6901583436072302,-0.2618095947734576;-15.177464227547844,45.65151037047612
99:0.14012917009456652,0.9548924294249934,0.2618095947734576;15.177464227547844,81.6515103704761
100:0.3090169943749475,0.9510565162951536,0.0;0.0,72.0
101:0.1335325663801904,0.9418442936781856,-0.3083802525807378;-17.961644074509802,81.93051445164664
102:0.44557207027578366,0.8404565128597626,-0.3083802525807378;-17.961644074509802,62.06948554835336
103:0.49357474640406296,0.6651638225312466,-0.5603044341318254;-34.076854005270455,53.42329672754778
104:0.3427007336524516,0.5579153108732844,-0.7558351096947257;-49.09839340504711,58.4395803498624
105:0.050683674249891314,0.6527974051091908,-0.7558351096947256;-49.0983934050471,85.5604196501376
106:0.13077523847794834,0.4024847985337491,-0.906037429662971;-64.96337184640184,71.99999999999999
107:-0.07997948340457485,0.24615153938604165,-0.9659258262890682;-74.99999999999999,108.0
108:-0.2093890059558352,0.15213001772368218,0.9659258262890682;74.99999999999999,144.0
109:-0.13077523847794814,0.4024847985337491,0.906037429662971;64.96337184640184,108.0
110:-0.3427007336524514,0.5579153108732845,0.7558351096947257;49.09839340504711,121.56041965013759
111:-0.05068367424989119,0.6527974051091908,0.7558351096947257;49.09839340504711,94.43958034986241
112:0.008336872592837311,0.8282447933114858,0.5603044341318254;34.076854005270455,89.42329672754778
113:-0.1335325663801903,0.9418442936781857,0.3083802525807378;17.961644074509802,98.06948554835336
114:-0.4455720702757836,0.8404565128597627,0.3083802525807378;17.961644074509802,117.93051445164663
115:-0.30901699437494734,0.9510565162951536,0.0;0.0,108.0
116:-0.4479048075275802,0.8548900628023696,-0.2618095947734576;-15.177464227547844,117.6515103704761
117:-0.8648543723986712,0.4283487488337726,0.2618095947734576;15.177464227547844,153.6515103704761
118:-0.8090169943749473,0.5877852522924732,0.0;0.0,144.0
119:-0.8544833205240652,0.41804291019512363,-0.3083802525807379;-17.961644074509806,153.93051445164664
120:-0.6616323012839331,0.6834795664216795,-0.3083802525807378;-17.961644074509802,134.06948554835336
121:-0.4800854031889747,0.6749644040518689,-0.5603044341318254;-34.076854005270455,125.42329672754776
122:-0.4247086412635033,0.4983330783611207,-0.7558351096947257;-49.09839340504711,130.43958034986238
123:-0.6051851092690826,0.24992853072774712,-0.7558351096947257;-49.09839340504711,157.5604196501376
124:-0.34237401922214145,0.2487492854490108,-0.906037429662971;-64.96337184640184,144.0
125:-0.2588190451025207,3.1696191514317643e-17,-0.9659258262890682;-74.99999999999999,180.0
126:-0.2093890059558352,-0.15213001772368218,0.9659258262890682;74.99999999999999,-144.0
127:-0.42319756148838655,0.0,0.9060374296629711;64.96337184640184,180.0
128:-0.6365093426302432,-0.15352245339746715,0.7558351096947258;49.09839340504712,-166.4395803498624
129:-0.6365093426302432,0.15352245339746715,0.7558351096947258;49.09839340504712,166.4395803498624
130:-0.7851313724552955,0.2638705536407553,0.5603044341318256;34.07685400527047,161.42329672754778
131:-0.9370109851520244,0.16404887540813312,0.308380252580738;17.96164407450981,170.06948554835336
132:-0.9370109851520244,-0.16404887540813307,0.308380252580738;17.96164407450981,-170.06948554835336
133:-1.0,5.836787854364518e-17,0.0;0.0,180.0
134:-0.9514589623324287,-0.1618072281508336,-0.2618095947734576;-15.177464227547844,-170.3484896295239
135:-0.6746385675559041,-0.6901583436072303,0.2618095947734576;15.177464227547844,-134.3484896295239
136:-0.8090169943749473,-0.5877852522924731,0.0;0.0,-144.0
137:-0.6616323012839331,-0.6834795664216795,-0.30838025258073787;-17.961644074509802,-134.06948554835336
138:-0.8544833205240651,-0.4180429101951234,-0.30838025258073787;-17.961644074509802,-153.93051445164664
139:-0.7902838430775465,-0.24801287963087446,-0.5603044341318256;-34.07685400527047,-162.57670327245222
140:-0.6051851092690826,-0.24992853072774698,-0.7558351096947257;-49.09839340504711,-157.56041965013762
141:-0.42470864126350333,-0.49833307836112056,-0.7558351096947257;-49.09839340504711,-130.4395803498624
142:-0.34237401922214145,-0.24874928544901073,-0.906037429662971;-64.96337184640184,-144.0
143:-0.07997948340457485,-0.24615153938604165,-0.9659258262890682;-74.99999999999999,-108.0
144:0.07997948340457497,-0.24615153938604162,0.9659258262890682;74.99999999999999,-71.99999999999999
145:-0.13077523847794814,-0.4024847985337491,0.906037429662971;64.96337184640184,-108.0
146:-0.05068367424989119,-0.6527974051091908,0.7558351096947257;49.09839340504711,-94.43958034986241
147:-0.3427007336524514,-0.5579153108732845,0.7558351096947257;49.09839340504711,-121.56041965013759
148:-0.49357474640406285,-0.6651638225312467,0.5603044341318254;34.076854005270455,-126.57670327245222
149:-0.4455720702757836,-0.8404565128597627,0.3083802525807378;17.961644074509802,-117.93051445164663
150:-0.1335325663801903,-0.9418442936781857,0.3083802525807378;17.961644074509802,-98.06948554835336
151:-0.30901699437494734,-0.9510565162951536,0.0;0.0,-108.0
152:-0.1401291700945664,-0.9548924294249934,-0.2618095947734576;-15.177464227547844,-98.3484896295239
153:0.44790480752758033,-0.8548900628023693,0.2618095947734576;15.177464227547844,-62.3484896295239
154:0.3090169943749475,-0.9510565162951536,0.0;0.0,-72.0
155:0.44557207027578366,-0.8404565128597626,-0.3083802525807378;-17.961644074509802,-62.06948554835336
156:0.1335325663801904,-0.9418442936781856,-0.3083802525807378;-17.961644074509802,-81.93051445164664
157:-0.008336872592837196,-0.8282447933114858,-0.5603044341318254;-34.076854005270455,-90.57670327245222
158:0.050683674249891314,-0.6527974051091908,-0.7558351096947256;-49.0983934050471,-85.5604196501376
159:0.3427007336524516,-0.5579153108732844,-0.7558351096947257;-49.09839340504711,-58.4395803498624
160:0.13077523847794834,-0.4024847985337491,-0.906037429662971;-64.96337184640184,-71.99999999999999
161:0.20938900595583537,-0.15213001772368215,-0.9659258262890682;-74.99999999999999,-35.99999999999999
