0:6.123233995736766e-17,0.0,1.0;90,0
48:0.21850801222441057,0.6724985119639574,0.7071067811865475;44.99999999999999,72.0
49:0.4800854031889748,0.6749644040518687,0.5603044341318254;34.076854005270455,54.57670327245223
50:0.44790480752758033,0.8548900628023693,0.2618095947734576;15.177464227547844,62.3484896295239
51:-0.1401291700945664,0.9548924294249934,-0.2618095947734576;-15.177464227547844,98.3484896295239
52:-0.008336872592837196,0.8282447933114858,-0.5603044341318254;-34.076854005270455,90.57670327245222
53:-0.21850801222441046,0.6724985119639575,-0.7071067811865475;-44.99999999999999,108.0
54:-0.5720614028176843,0.4156269377774536,0.7071067811865475;44.99999999999999,144.0
55:-0.49357474640406285,0.6651638225312467,0.5603044341318254;34.076854005270455,126.57670327245222
56:-0.6746385675559041,0.6901583436072303,0.2618095947734576;15.177464227547844,134.3484896295239
57:-0.9514589623324287,0.16180722815083376,-0.2618095947734576;-15.177464227547844,170.3484896295239
58:-0.7902838430775465,0.24801287963087465,-0.5603044341318255;-34.07685400527046,162.57670327245222
59:-0.7071067811865476,8.659560562354932e-17,-0.7071067811865475;-44.99999999999999,180.0
60:-0.5720614028176843,-0.4156269377774536,0.7071067811865475;44.99999999999999,-144.0
61:-0.7851313724552955,-0.2638705536407553,0.5603044341318256;34.07685400527047,-161.42329672754778
62:-0.8648543723986712,-0.42834874883377255,0.2618095947734576;15.177464227547844,-153.6515103704761
63:-0.4479048075275802,-0.8548900628023696,-0.2618095947734576;-15.177464227547844,-117.6515103704761
64:-0.4800854031889747,-0.6749644040518689,-0.5603044341318256;-34.07685400527047,-125.42329672754776
65:-0.21850801222441046,-0.6724985119639575,-0.7071067811865475;-44.99999999999999,-108.0
66:0.21850801222441057,-0.6724985119639574,0.7071067811865475;44.99999999999999,-72.0
67:0.008336872592837311,-0.8282447933114858,0.5603044341318254;34.076854005270455,-89.42329672754778
68:0.14012917009456652,-0.9548924294249934,0.2618095947734576;15.177464227547844,-81.6515103704761
69:0.6746385675559042,-0.6901583436072302,-0.2618095947734576;-15.177464227547844,-45.65151037047612
70:0.49357474640406296,-0.6651638225312466,-0.5603044341318254;-34.076854005270455,-53.42329672754778
71:0.5720614028176844,-0.4156269377774535,-0.7071067811865475;-44.99999999999999,-36.00000000000001
72:0.25881904510252085,0.0,0.9659258262890682;74.99999999999999,0.0
73:0.34237401922214167,-0.24874928544901076,0.906037429662971;64.96337184640184,-35.99999999999999
74:0.6051851092690829,-0.24992853072774704,0.7558351096947257;49.09839340504711,-22.439580349862393
75:0.4247086412635035,-0.49833307836112056,0.7558351096947257;49.09839340504711,-49.56041965013759
76:0.4800854031889748,-0.6749644040518687,0.5603044341318254;34.076854005270455,-54.57670327245223
77:0.6616323012839332,-0.6834795664216794,0.30838025258073787;17.961644074509802,-45.930514451646644
78:0.8544833205240652,-0.4180429101951234,0.3083802525807378;17.961644074509802,-26.069485548353356
79:0.8090169943749475,-0.5877852522924731,0.0;0.0,-36.0
80:0.8648543723986714,-0.4283487488337725,-0.2618095947734576;-15.177464227547844,-26.348489629523897
81:0.9514589623324287,0.16180722815083362,0.26180959477345755;15.17746422754784,9.651510370476105
82:1.0,0.0,0.0;0.0,0.0
83:0.9370109851520243,0.164048875408133,-0.30838025258073787;-17.961644074509802,9.930514451646642
84:0.9370109851520243,-0.164048875408133,-0.30838025258073787;-17.961644074509802,-9.930514451646642
85:0.7851313724552957,-0.26387055364075523,-0.5603044341318256;-34.07685400527047,-18.576703272452228
86:0.6365093426302434,-0.15352245339746712,-0.7558351096947257;-49.09839340504711,-13.5604196501376
87:0.6365093426302434,0.15352245339746712,-0.7558351096947257;-49.09839340504711,13.5604196501376
88:0.4231975614883867,0.0,-0.906037429662971;-64.96337184640184,0.0
89:0.20938900595583537,0.15213001772368215,-0.9659258262890682;-74.99999999999999,35.99999999999999
90:0.07997948340457497,0.24615153938604162,0.9659258262890682;74.99999999999999,71.99999999999999
91:0.34237401922214167,0.24874928544901076,0.906037429662971;64.96337184640184,35.99999999999999
92:0.4247086412635035,0.49833307836112056,0.7558351096947257;49.09839340504711,49.56041965013759
93:0.6051851092690829,0.24992853072774704,0.7558351096947257;49.09839340504711,22.439580349862393
94:0.7902838430775466,0.2480128796308745,0.5603044341318255;34.07685400527046,17.423296727547772
95:0.8544833205240652,0.4180429101951234,0.3083802525807378;17.961644074509802,26.069485548353356
96:0.6616323012839332,0.6834795664216794,0.30838025258073787;17.961644074509802,45.930514451646644
97:0.8090169943749475,0.5877852522924731,0.0;0.0,36.0
98:0.6746385675559042,0.6901583436072302,-0.2618095947734576;-15.177464227547844,45.65151037047612
99:0.14012917009456652,0.9548924294249934,0.2618095947734576;15.177464227547844,81.6515103704761
100:0.3090169943749475,0.9510565162951536,0.0;0.0,72.0
101:0.1335325663801904,0.9418442936781856,-0.3083802525807378;-17.961644074509802,81.93051445164664
102:0.44557207027578366,0.8404565128597626,-0.3083802525807378;-17.961644074509802,62.06948554835336
103:0.49357474640406296,0.6651638225312466,-0.5603044341318254;-34.076854005270455,53.42329672754778
104:0.3427007336524516,0.5579153108732844,-0.7558351096947257;-49.09839340504711,58.4395803498624
105:0.050683674249891314,0.6527974051091908,-0.7558351096947256;-49.0983934050471,85.5604196501376
106:0.13077523847794834,0.4024847985337491,-0.906037429662971;-64.96337184640184,71.99999999999999
107:-0.07997948340457485,0.24615153938604165,-0.9659258262890682;-74.99999999999999,108.0
108:-0.2093890059558352,0.15213001772368218,0.9659258262890682;74.99999999999999,144.0
109:-0.13077523847794814,0.4024847985337491,0.906037429662971;64.96337184640184,108.0
110:-0.3427007336524514,0.5579153108732845,0.7558351096947257;49.09839340504711,121.56041965013759
111:-0.05068367424989119,0.6527974051091908,0.7558351096947257;49.09839340504711,94.43958034986241
112:0.008336872592837311,0.8282447933114858,0.5603044341318254;34.076854005270455,89.42329672754778
113:-0.1335325663801903,0.9418442936781857,0.3083802525807378;17.961644074509802,98.06948554835336
114:-0.4455720702757836,0.8404565128597627,0.3083802525807378;17.961644074509802,117.93051445164663
115:-0.30901699437494734,0.9510565162951536,0.0;0.0,108.0
116:-0.4479048075275802,0.8548900628023696,-0.2618095947734576;-15.177464227547844,117.6515103704761
117:-0.8648543723986712,0.4283487488337726,0.2618095947734576;15.177464227547844,153.6515103704761
118:-0.8090169943749473,0.5877852522924732,0.0;0.0,144.0
119:-0.8544833205240652,0.41804291019512363,-0.3083802525807379;-17.961644074509806,153.93051445164664
120:-0.6616323012839331,0.6834795664216795,-0.3083802525807378;-17.961644074509802,134.06948554835336
121:-0.4800854031889747,0.6749644040518689,-0.5603044341318254;-34.076854005270455,125.42329672754776
122:-0.4247086412635033,0.4983330783611207,-0.7558351096947257;-49.09839340504711,130.43958034986238
123:-0.6051851092690826,0.24992853072774712,-0.7558351096947257;-49.09839340504711,157.5604196501376
124:-0.34237401922214145,0.2487492854490108,-0.906037429662971;-64.96337184640184,144.0
125:-0.2588190451025207,3.1696191514317643e-17,-0.9659258262890682;-74.99999999999999,180.0
126:-0.2093890059558352,-0.15213001772368218,0.9659258262890682;74.99999999999999,-144.0
127:-0.42319756148838655,0.0,0.9060374296629711;64.96337184640184,180.0
128:-0.6365093426302432,-0.15352245339746715,0.7558351096947258;49.09839340504712,-166.4395803498624
129:-0.6365093426302432,0.15352245339746715,0.7558351096947258;49.09839340504712,166.4395803498624
130:-0.7851313724552955,0.2638705536407553,0.5603044341318256;34.07685400527047,161.42329672754778
131:-0.9370109851520244,0.16404887540813312,0.308380252580738;17.96164407450981,170.06948554835336
132:-0.9370109851520244,-0.16404887540813307,0.308380252580738;17.96164407450981,-170.06948554835336
133:-1.0,5.836787854364518e-17,0.0;0.0,180.0
134:-0.9514589623324287,-0.1618072281508336,-0.2618095947734576;-15.177464227547844,-170.3484896295239
135:-0.6746385675559041,-0.6901583436072303,0.2618095947734576;15.177464227547844,-134.3484896295239
136:-0.8090169943749473,-0.5877852522924731,0.0;0.0,-144.0
137:-0.6616323012839331,-0.6834795664216795,-0.30838025258073787;-17.961644074509802,-134.06948554835336
138:-0.8544833205240651,-0.4180429101951234,-0.30838025258073787;-17.961644074509802,-153.93051445164664
139:-0.7902838430775465,-0.24801287963087446,-0.5603044341318256;-34.07685400527047,-162.57670327245222
140:-0.6051851092690826,-0.24992853072774698,-0.7558351096947257;-49.09839340504711,-157.56041965013762
141:-0.42470864126350333,-0.49833307836112056,-0.7558351096947257;-49.09839340504711,-130.4395803498624
142:-0.34237401922214145,-0.24874928544901073,-0.906037429662971;-64.96337184640184,-144.0
143:-0.07997948340457485,-0.24615153938604165,-0.9659258262890682;-74.99999999999999,-108.0
144:0.07997948340457497,-0.24615153938604162,0.9659258262890682;74.99999999999999,-71.99999999999999
145:-0.13077523847794814,-0.4024847985337491,0.906037429662971;64.96337184640184,-108.0
146:-0.05068367424989119,-0.6527974051091908,0.7558351096947257;49.09839340504711,-94.43958034986241
147:-0.3427007336524514,-0.5579153108732845,0.7558351096947257;49.09839340504711,-121.56041965013759
148:-0.49357474640406285,-0.6651638225312467,0.5603044341318254;34.076854005270455,-126.57670327245222
149:-0.4455720702757836,-0.8404565128597627,0.3083802525807378;17.961644074509802,-117.93051445164663
150:-0.1335325663801903,-0.9418442936781857,0.3083802525807378;17.961644074509802,-98.06948554835336
151:-0.30901699437494734,-0.9510565162951536,0.0;0.0,-108.0
152:-0.1401291700945664,-0.9548924294249934,-0.2618095947734576;-15.177464227547844,-98.3484896295239
153:0.44790480752758033,-0.8548900628023693,0.2618095947734576;15.177464227547844,-62.3484896295239
154:0.3090169943749475,-0.9510565162951536,0.0;0.0,-72.0
155:0.44557207027578366,-0.8404565128597626,-0.3083802525807378;-17.961644074509802,-62.06948554835336
156:0.1335325663801904,-0.9418442936781856,-0.3083802525807378;-17.961644074509802,-81.93051445164664
157:-0.008336872592837196,-0.8282447933114858,-0.5603044341318254;-34.076854005270455,-90.57670327245222
158:0.050683674249891314,-0.6527974051091908,-0.7558351096947256;-49.0983934050471,-85.5604196501376
159:0.3427007336524516,-0.5579153108732844,-0.7558351096947257;-49.09839340504711,-58.4395803498624
160:0.13077523847794834,-0.4024847985337491,-0.906037429662971;-64.96337184640184,-71.99999999999999
161:0.20938900595583537,-0.15213001772368215,-0.9659258262890682;-74.99999999999999,-35.99999999999999
162:0.7933533402912352,0.0,0.6087614290087205;37.49999999999999,0.0
163:0.8355914545348875,-0.12512001803212586,0.5349129856302908;32.338010506047084,-8.516098955198126
164:0.9191666395181632,-0.08183168390433739,0.3852742715342767;22.660768427989805,-5.087522953371315
165:0.791720889001934,0.4740693721510805,-0.3852742715342767;-22.660768427989805,30.912477046628688
166:0.7495513884390571,0.3899241129927338,-0.5349129856302908;-32.338010506047084,27.48390104480188
167:0.6418363348397399,0.46632139328016,-0.6087614290087205;-37.49999999999999,36.00000000000001
168:0.24515966469412237,0.7545238640085057,0.6087614290087205;37.49999999999999,72.0
169:0.3772081682741819,0.7560304858875235,0.5349129856302907;32.33801050604708,63.483901044801875
170:0.3618646684902489,0.8488920410701084,0.3852742715342767;22.660768427989805,66.9124770466287
171:-0.2062115560569982,0.8994668030796267,-0.3852742715342767;-22.660768427989805,102.9124770466287
172:-0.13921575133734093,0.8333589097043771,-0.5349129856302905;-32.33801050604707,99.48390104480187
173:-0.24515966469412226,0.7545238640085057,-0.6087614290087205;-37.49999999999999,108.0
174:-0.6418363348397399,0.4663213932801601,0.6087614290087205;37.49999999999999,144.0
175:-0.6024639857073533,0.5923725548417133,0.5349129856302907;32.33801050604708,135.48390104480188
176:-0.6955219750634761,0.6064758180649362,0.3852742715342767;22.660768427989805,138.91247704662868
177:-0.9191666395181632,0.08183168390433751,-0.3852742715342767;-22.660768427989805,174.91247704662868
178:-0.8355914545348875,0.12512001803212597,-0.5349129856302908;-32.338010506047084,171.48390104480188
179:-0.7933533402912352,9.715776287805219e-17,-0.6087614290087205;-37.49999999999999,180.0
180:-0.6418363348397399,-0.4663213932801601,0.6087614290087205;37.49999999999999,-144.0
181:-0.749551388439057,-0.3899241129927339,0.5349129856302908;32.338010506047084,-152.51609895519812
182:-0.7917208890019339,-0.4740693721510806,0.3852742715342766;22.660768427989805,-149.0875229533713
183:-0.36186466849024873,-0.8488920410701085,-0.3852742715342766;-22.660768427989805,-113.0875229533713
184:-0.37720816827418174,-0.7560304858875235,-0.5349129856302908;-32.338010506047084,-116.51609895519813
185:-0.24515966469412226,-0.7545238640085057,-0.6087614290087205;-37.49999999999999,-108.0
186:0.24515966469412237,-0.7545238640085057,0.6087614290087205;37.49999999999999,-72.0
187:0.13921575133734107,-0.8333589097043771,0.5349129856302907;32.33801050604708,-80.51609895519813
188:0.2062115560569983,-0.8994668030796267,0.3852742715342767;22.660768427989805,-77.0875229533713
189:0.6955219750634763,-0.6064758180649361,-0.3852742715342766;-22.660768427989805,-41.08752295337132
190:0.6024639857073534,-0.5923725548417131,-0.5349129856302907;-32.33801050604708,-44.516098955198125
191:0.6418363348397399,-0.46632139328016,-0.6087614290087205;-37.49999999999999,-36.00000000000001
192:0.3826834323650899,0.0,0.9238795325112867;67.5,0.0
193:0.4259155311957076,-0.12577095402871052,0.8959785864678833;63.63440409215178,-16.451635192395674
194:0.5586069194653033,-0.1263243645479885,0.8197563445604011;55.060410342813626,-12.742635300564196
195:0.5475112023031287,-0.49370495496188677,0.6756381433864312;42.50372532700749,-42.04179479065334
196:0.5744170407557216,-0.5818838473270019,0.5757223736397309;35.150236171596134,-45.36998203581146
197:0.6698894547825581,-0.5895979746899886,0.45124532863243066;26.823611052904546,-41.3523683831246
198:0.9161885830541199,-0.3689334182385105,0.15648198998010077;9.002756931251826,-21.93379993036729
199:0.8910065241883679,-0.4539904997395468,0.0;0.0,-27.0
200:0.9183708758889081,-0.3729121443443496,-0.13240644591385559;-7.608673837666924,-22.100021530229142
201:0.9621699045795029,0.2381125947990391,0.13240644591385556;7.608673837666923,13.899978469770865
202:0.9876883405951378,0.15643446504023087,0.0;0.0,9.0
203:0.9580657560615333,0.24004873229015414,-0.1564819899801008;-9.002756931251827,14.066200069632712
204:0.8885089475759437,-0.0832436391858177,-0.4512453286324307;-26.82361105290455,-5.352368383124588
205:0.8067358918359623,-0.13312005601812427,-0.5757223736397309;-35.150236171596134,-9.36998203581146
206:0.7331383587842076,-0.07759668859258467,-0.6756381433864312;-42.50372532700749,-6.0417947906533405
207:0.5261740895093937,0.2261423513672956,-0.8197563445604011;-55.060410342813626,23.2573646994358
208:0.4184992148503911,0.14859602875117456,-0.8959785864678833;-63.63440409215178,19.548364807604322
209:0.30959740024909344,0.22493567784086388,-0.9238795325112867;-67.5,36.0
210:0.11825568406654857,0.3639535720290143,0.9238795325112867;67.5,72.0
211:0.25123042269737006,0.3662043791413675,0.8959785864678833;63.63440409215178,55.54836480760432
212:0.2927606413604253,0.4922303753560941,0.8197563445604011;55.060410342813626,59.257364699435804
213:0.6387315806660344,0.36815087540464353,0.6756381433864312;42.50372532700749,29.95820520934666
214:0.7309090521793242,0.36649107210538684,0.5757223736397309;35.150236171596134,26.630017964188536
215:0.7677482217037171,0.45490693714010294,0.45124532863243066;26.823611052904546,30.64763161687541
216:0.6339943737108066,0.7573404260403043,0.1564819899801008;9.002756931251827,50.066200069632714
217:0.7071067811865475,0.7071067811865475,0.0;0.0,45.0
218:0.6384527326729708,0.7581864158786263,-0.13240644591385559;-7.608673837666924,49.899978469770865
219:0.07086831709561438,0.9886587959010411,0.13240644591385559;7.608673837666924,85.89997846977086
220:0.15643446504023092,0.9876883405951378,0.0;0.0,81.0
221:0.0677586892787547,0.9853538180973841,-0.1564819899801008;-9.002756931251827,86.06620006963271
222:0.35373376994296035,0.8192985251966163,-0.45124532863243066;-26.823611052904546,66.64763161687542
223:0.37589979727515477,0.7261150672580288,-0.5757223736397309;-35.150236171596134,62.63001796418853
224:0.3003510484213811,0.6732773179853256,-0.6756381433864311;-42.50372532700749,65.95820520934666
225:-0.05247742122000726,0.5703031262539833,-0.8197563445604011;-55.060410342813626,95.2573646994358
226:-0.011999851918043255,0.4439351035286112,-0.8959785864678833;-63.63440409215178,91.54836480760433
227:-0.11825568406654845,0.36395357202901435,-0.9238795325112867;-67.5,108.0
228:-0.3095974002490933,0.22493567784086393,0.9238795325112868;67.50000000000001,144.0
229:-0.2706465909607296,0.35209770716712874,0.8959785864678833;63.63440409215178,127.54836480760432
230:-0.37767089253634195,0.43053946681317345,0.8197563445604011;55.060410342813626,131.25736469943578
231:-0.15275337576357415,0.7212347089499843,0.6756381433864312;42.50372532700749,101.95820520934666
232:-0.12269040382392873,0.8083877864615195,0.5757223736397308;35.15023617159612,98.63001796418854
233:-0.19539495896737122,0.8707459235606841,0.45124532863243066;26.823611052904546,102.64763161687542
234:-0.5243585114246384,0.8369955425857445,0.15648198998010077;9.002756931251826,122.0662000696327
235:-0.4539904997395467,0.8910065241883679,0.0;0.0,117.0
236:-0.5237853868867614,0.8414971191658037,-0.13240644591385559;-7.608673837666924,121.89997846977084
237:-0.918370875888908,0.3729121443443497,0.13240644591385559;7.608673837666924,157.89997846977087
238:-0.8910065241883678,0.4539904997395469,0.0;0.0,153.0
239:-0.9161885830541199,0.36893341823851067,-0.15648198998010082;-9.00275693125183,158.0662000696327
240:-0.6698894547825581,0.5895979746899888,-0.4512453286324307;-26.82361105290455,138.6476316168754
241:-0.5744170407557215,0.581883847327002,-0.5757223736397309;-35.150236171596134,134.63001796418854
242:-0.5475112023031284,0.4937049549618869,-0.6756381433864312;-42.50372532700749,137.95820520934666
243:-0.5586069194653032,0.1263243645479886,-0.8197563445604011;-55.060410342813626,167.25736469943578
244:-0.42591553119570735,0.12577095402871058,-0.8959785864678834;-63.6344040921518,163.5483648076043
245:-0.3826834323650897,4.6865204053262974e-17,-0.9238795325112867;-67.5,180.0
246:-0.3095974002490933,-0.22493567784086393,0.9238795325112868;67.50000000000001,-144.0
247:-0.418499214850391,-0.1485960287511746,0.8959785864678834;63.6344040921518,-160.45163519239566
248:-0.5261740895093935,-0.22614235136729569,0.8197563445604011;55.060410342813626,-156.7426353005642
249:-0.7331383587842075,0.07759668859258469,0.6756381433864314;42.5037253270075,173.9582052093467
250:-0.8067358918359623,0.13312005601812432,0.575722373639731;35.15023617159614,170.63001796418854
251:-0.8885089475759436,0.08324363918581776,0.4512453286324307;26.82361105290455,174.6476316168754
252:-0.9580657560615333,-0.24004873229015417,0.15648198998010085;9.00275693125183,-165.93379993036731
253:-0.9876883405951378,-0.15643446504023084,0.0;0.0,-171.0
254:-0.9621699045795029,-0.2381125947990391,-0.13240644591385559;-7.608673837666924,-166.10002153022913
255:-0.6384527326729706,-0.7581864158786265,0.13240644591385559;7.608673837666924,-130.10002153022913
256:-0.7071067811865474,-0.7071067811865476,0.0;0.0,-135.0
257:-0.6339943737108066,-0.7573404260403043,-0.1564819899801008;-9.002756931251827,-129.9337999303673
258:-0.7677482217037171,-0.45490693714010305,-0.4512453286324308;-26.823611052904553,-149.3523683831246
259:-0.7309090521793242,-0.36649107210538684,-0.5757223736397309;-35.150236171596134,-153.36998203581146
260:-0.6387315806660343,-0.36815087540464353,-0.6756381433864312;-42.50372532700749,-150.04179479065334
261:-0.2927606413604252,-0.4922303753560941,-0.8197563445604011;-55.060410342813626,-120.7426353005642
262:-0.25123042269736995,-0.36620437914136755,-0.8959785864678834;-63.6344040921518,-124.45163519239567
263:-0.11825568406654845,-0.36395357202901435,-0.9238795325112867;-67.5,-108.0
264:0.11825568406654857,-0.3639535720290143,0.9238795325112867;67.5,-72.0
265:0.011999851918043423,-0.44393510352861115,0.8959785864678833;63.63440409215178,-88.45163519239566
266:0.052477421220007404,-0.5703031262539832,0.8197563445604011;55.060410342813626,-84.7426353005642
267:-0.30035104842138094,-0.6732773179853256,0.6756381433864311;42.50372532700749,-114.04179479065331
268:-0.3758997972751546,-0.7261150672580288,0.5757223736397308;35.15023617159612,-117.36998203581145
269:-0.3537337699429602,-0.8192985251966163,0.4512453286324306;26.823611052904546,-113.35236838312457
270:-0.06775868927875457,-0.9853538180973841,0.15648198998010077;9.002756931251826,-93.93379993036729
271:-0.15643446504023079,-0.9876883405951378,0.0;0.0,-99.00000000000001
272:-0.07086831709561427,-0.9886587959010412,-0.13240644591385559;-7.608673837666924,-94.10002153022913
273:0.5237853868867617,-0.8414971191658036,0.13240644591385559;7.608673837666924,-58.10002153022913
274:0.4539904997395468,-0.8910065241883679,0.0;0.0,-63.0
275:0.5243585114246385,-0.8369955425857445,-0.15648198998010077;-9.002756931251826,-57.933799930367286
276:0.19539495896737133,-0.8707459235606841,-0.45124532863243066;-26.823611052904546,-77.35236838312458
277:0.12269040382392885,-0.8083877864615195,-0.5757223736397308;-35.15023617159612,-81.36998203581146
278:0.15275337576357423,-0.7212347089499842,-0.6756381433864311;-42.50372532700749,-78.04179479065334
279:0.3776708925363421,-0.43053946681317334,-0.8197563445604011;-55.060410342813626,-48.74263530056421
280:0.27064659096072985,-0.3520977071671287,-0.8959785864678833;-63.63440409215178,-52.45163519239566
281:0.30959740024909344,-0.22493567784086388,-0.9238795325112867;-67.5,-36.0
282:0.6087614290087208,0.0,0.7933533402912352;52.5,0.0
283:0.662404325116237,-0.1261561859279077,0.7384477820532915;47.599357748602856,-10.782956819305586
284:0.7572610263166824,-0.12542517945932308,0.6409557413577021;39.863123697104456,-9.404523827066475
285:0.7041447423012335,-0.2512580630966205,0.6641156281992348;41.61451452239442,-19.637787325969995
286:0.7309090521793242,-0.36649107210538684,0.5757223736397309;35.150236171596134,-26.630017964188536
287:0.8324865018289507,-0.3371191173837588,0.43967820615421915;26.08335122976884,-22.04570559120195
288:0.8845218593793696,-0.20812191250062623,0.4175001195414733;24.67685989094262,-13.24046602895987
289:0.9118164731895747,-0.2927651194305146,0.2878876587576515;16.731535415159687,-17.800733531707614
290:0.9621699045795029,-0.2381125947990391,0.13240644591385556;7.608673837666923,-13.899978469770865
291:0.9183708758889081,0.3729121443443496,-0.13240644591385559;-7.608673837666924,22.100021530229142
292:0.9097580421482956,0.2991003187586699,-0.2878876587576516;-16.731535415159694,18.199266468292393
293:0.8379242069808099,0.35153474015868774,-0.41750011954147337;-24.676859890942623,22.75953397104013
294:0.8716493730314003,0.21658819341546448,-0.4396782061542192;-26.083351229768844,13.95429440879805
295:0.8067358918359623,0.13312005601812427,-0.5757223736397309;-35.150236171596134,9.36998203581146
296:0.717350847029231,0.21061385198505012,-0.6641156281992348;-41.61451452239442,16.36221267403
297:0.6863601102203373,0.3436357616996884,-0.6409557413577021;-39.863123697104456,26.59547617293353
298:0.610049101740395,0.2872889949968699,-0.7384477820532916;-47.599357748602856,25.217043180694418
299:0.4924983415880331,0.35782099013581736,-0.793353340291235;-52.49999999999999,36.00000000000001
300:0.18811762708367283,0.5789665239278934,0.7933533402912352;52.5,72.0
301:0.32467585630606466,0.5909995444266416,0.7384477820532916;47.599357748602856,61.21704318069442
302:0.3532929605419474,0.681439521639378,0.6409557413577021;39.863123697104456,62.59547617293352
303:0.45655331005058886,0.5920384341099711,0.6641156281992349;41.61451452239444,52.362212674030005
304:0.5744170407557216,0.5818838473270019,0.5757223736397309;35.150236171596134,45.36998203581146
305:0.5778718100083912,0.6875661758919165,0.43967820615421915;26.08335122976884,49.95429440879804
306:0.47126798751188304,0.7769170703037456,0.4175001195414733;24.67685989094262,58.759533971040135
307:0.560202960544927,0.7767196012279701,0.2878876587576516;16.731535415159694,54.199266468292386
308:0.5237853868867617,0.8414971191658036,0.13240644591385559;7.608673837666924,58.10002153022913
309:-0.07086831709561427,0.9886587959010412,-0.13240644591385559;-7.608673837666924,94.10002153022913
310:-0.003330611388287399,0.9576583957564504,-0.28788765875765154;-16.731535415159694,90.19926646829238
311:-0.07539658537682223,0.9055434860327642,-0.41750011954147326;-24.676859890942616,94.75953397104014
312:0.06336685670259815,0.8959172486924449,-0.43967820615421904;-26.083351229768834,85.95429440879803
313:0.12269040382392885,0.8083877864615195,-0.5757223736397308;-35.15023617159612,81.36998203581146
314:0.021367926308890794,0.7473244570511484,-0.6641156281992348;-41.61451452239442,88.36221267403
